Age,Gender,Weight,Height,Bodyfat,Bodytemp,Sport-Last-Hour,Time-Since-Meal,Tiredness,Clothing-Level,Radiation-Temp,PCE-Ambient-Temp,Wrist_Skin_Temperature,Heart_Rate,GSR,Ambient_Temperature,Ambient_Humidity,Solar_Radiation,Label
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,20.0,40.0,0.3,-3
30,Male,85.0,180.0,0.18,36.3,0,2,4,0.55,19.8,19.5,32.5,65.0,0.8,19.0,35.0,0.2,-3
28,Female,62.0,165.0,0.25,36.2,0,6,3,0.7,20.0,20.0,31.8,78.0,0.6,18.5,42.0,0.15,-3
24,Male,75.0,175.0,0.15,36.1,0,1,5,0.6,21.0,20.5,32.0,70.0,0.9,19.5,38.0,0.18,-3
21,Female,48.0,158.0,0.2,36.4,0,3,2,0.68,22.0,21.5,33.0,75.0,0.45,20.2,36.0,0.22,-3
29,Male,90.0,185.0,0.12,36.0,0,4,3,0.5,20.5,20.0,31.5,68.0,0.7,19.0,37.0,0.16,-3
23,Female,55.0,162.0,0.3,36.2,0,5,4,0.72,21.0,21.0,32.8,74.0,0.55,18.8,39.0,0.19,-3
26,Male,82.0,178.0,0.2,36.3,0,2,3,0.58,19.0,19.5,31.7,66.0,0.8,19.2,34.0,0.17,-3
27,Female,59.0,164.0,0.28,36.1,0,6,5,0.66,20.0,20.0,32.3,77.0,0.62,18.7,41.0,0.14,-3
31,Male,88.0,182.0,0.16,36.0,0,3,4,0.54,20.2,20.1,31.9,69.0,0.75,19.3,36.0,0.21,-3
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,20.0,40.0,0.3,-3
30,Male,85.0,180.0,0.18,36.3,1,2,4,0.55,19.0,19.5,32.5,65.0,0.8,18.5,35.0,0.2,-3
28,Female,62.0,165.0,0.25,36.2,0,6,3,0.7,20.0,20.5,31.8,78.0,0.6,19.0,38.0,0.15,-3
