transition_id,participant_id,seconds_to_onset,Ambient_Temperature,Wrist_Skin_Temperature
1,participant_2,-299.9761904761905,26.0,34.49
1,participant_2,-299.95238095238096,26.0,34.49
1,participant_2,-299.92857142857144,26.0,34.49
1,participant_2,-299.9047619047619,26.0,34.49
1,participant_2,-299.8809523809524,26.0,34.49
1,participant_2,-299.85714285714283,26.0,34.49
1,participant_2,-299.8333333333333,26.0,34.49
1,participant_2,-299.8095238095238,26.0,34.49
1,participant_2,-299.7857142857143,26.0,34.49
1,participant_2,-299.76190476190476,26.0,34.49
1,participant_2,-299.73809523809524,26.0,34.49
1,participant_2,-299.7142857142857,26.0,34.49
1,participant_2,-299.6904761904762,26.0,34.49
1,participant_2,-299.6666666666667,26.0,34.49
1,participant_2,-299.64285714285717,26.0,34.49
1,participant_2,-299.6190476190476,26.0,34.49
1,participant_2,-299.5952380952381,26.0,34.49
1,participant_2,-299.57142857142856,26.0,34.49
1,participant_2,-299.54761904761904,26.0,34.49
1,participant_2,-299.5238095238095,26.0,34.49
1,participant_2,-299.5,26.0,34.49
1,participant_2,-299.4761904761905,26.0,34.49
1,participant_2,-299.45238095238096,26.0,34.49
1,participant_2,-299.42857142857144,26.0,34.49
1,participant_2,-299.4047619047619,26.0,34.49
1,participant_2,-299.3809523809524,26.0,34.49
1,participant_2,-299.35714285714283,26.0,34.49
1,participant_2,-299.3333333333333,26.0,34.49
1,participant_2,-299.3095238095238,26.0,34.49
1,participant_2,-299.2857142857143,26.0,34.49
1,participant_2,-299.26190476190476,26.0,34.47
1,participant_2,-299.23809523809524,26.0,34.47
1,participant_2,-299.2142857142857,26.0,34.47
1,participant_2,-299.1904761904762,26.0,34.47
1,participant_2,-299.1666666666667,26.0,34.47
1,participant_2,-299.14285714285717,26.0,34.47
1,participant_2,-299.1190476190476,26.0,34.47
1,participant_2,-299.0952380952381,26.0,34.47
1,participant_2,-299.07142857142856,26.0,34.47
1,participant_2,-299.04761904761904,26.0,34.47
1,participant_2,-299.0238095238095,26.0,34.47
1,participant_2,-299.0,26.0,34.47
1,participant_2,-298.9761904761905,26.0,34.47
1,participant_2,-298.95238095238096,26.0,34.47
1,participant_2,-298.92857142857144,26.0,34.47
1,participant_2,-298.9047619047619,26.0,34.47
1,participant_2,-298.8809523809524,26.0,34.47
1,participant_2,-298.85714285714283,26.0,34.47
1,participant_2,-298.8333333333333,26.0,34.47
1,participant_2,-298.8095238095238,26.0,34.47
1,participant_2,-298.7857142857143,26.0,34.47
1,participant_2,-298.76190476190476,26.0,34.47
1,participant_2,-298.73809523809524,26.0,34.47
1,participant_2,-298.7142857142857,26.0,34.47
1,participant_2,-298.6904761904762,26.0,34.47
1,participant_2,-298.6666666666667,26.0,34.47
1,participant_2,-298.64285714285717,26.0,34.47
1,participant_2,-298.6190476190476,26.0,34.47
1,participant_2,-298.5952380952381,26.0,34.47
1,participant_2,-298.57142857142856,26.0,34.47
1,participant_2,-298.54761904761904,26.0,34.47
1,participant_2,-298.5238095238095,26.0,34.47
1,participant_2,-298.5,26.0,34.47
1,participant_2,-298.4761904761905,26.0,34.47
1,participant_2,-298.45238095238096,26.0,34.47
1,participant_2,-298.42857142857144,26.0,34.47
1,participant_2,-298.4047619047619,26.0,34.47
1,participant_2,-298.3809523809524,26.0,34.47
1,participant_2,-298.35714285714283,26.0,34.47
1,participant_2,-298.3333333333333,26.0,34.47
1,participant_2,-298.3095238095238,26.0,34.47
1,participant_2,-298.2857142857143,26.0,34.47
1,participant_2,-298.26190476190476,26.0,34.47
1,participant_2,-298.23809523809524,26.0,34.47
1,participant_2,-298.2142857142857,26.0,34.47
1,participant_2,-298.1904761904762,26.0,34.47
1,participant_2,-298.1666666666667,26.0,34.47
1,participant_2,-298.14285714285717,26.0,34.47
1,participant_2,-298.1190476190476,26.0,34.47
1,participant_2,-298.0952380952381,26.0,34.47
1,participant_2,-298.07142857142856,26.0,34.47
1,participant_2,-298.04761904761904,26.0,34.47
1,participant_2,-298.0238095238095,26.0,34.47
1,participant_2,-298.0,26.0,34.47
1,participant_2,-297.9761904761905,26.0,34.47
1,participant_2,-297.95238095238096,26.0,34.47
1,participant_2,-297.92857142857144,26.0,34.47
1,participant_2,-297.9047619047619,26.0,34.47
1,participant_2,-297.8809523809524,26.0,34.47
1,participant_2,-297.85714285714283,26.0,34.47
1,participant_2,-297.8333333333333,26.0,34.47
1,participant_2,-297.8095238095238,26.0,34.47
1,participant_2,-297.7857142857143,26.0,34.47
1,participant_2,-297.76190476190476,26.0,34.47
1,participant_2,-297.73809523809524,26.0,34.47
1,participant_2,-297.7142857142857,26.0,34.47
1,participant_2,-297.6904761904762,26.0,34.47
1,participant_2,-297.6666666666667,26.0,34.47
1,participant_2,-297.64285714285717,26.0,34.47
1,participant_2,-297.6190476190476,26.0,34.47
1,participant_2,-297.5952380952381,26.0,34.47
1,participant_2,-297.57142857142856,26.0,34.47
1,participant_2,-297.54761904761904,26.0,34.47
1,participant_2,-297.5238095238095,26.0,34.47
1,participant_2,-297.5,26.0,34.47
1,participant_2,-297.4761904761905,26.0,34.47
1,participant_2,-297.45238095238096,26.0,34.47
1,participant_2,-297.42857142857144,26.0,34.47
1,participant_2,-297.4047619047619,26.0,34.47
1,participant_2,-297.3809523809524,26.0,34.47
1,participant_2,-297.35714285714283,26.0,34.47
1,participant_2,-297.3333333333333,26.0,34.47
1,participant_2,-297.3095238095238,26.0,34.47
1,participant_2,-297.2857142857143,26.0,34.47
1,participant_2,-297.26190476190476,26.0,34.47
1,participant_2,-297.23809523809524,26.0,34.47
1,participant_2,-297.2142857142857,26.0,34.47
1,participant_2,-297.1904761904762,26.0,34.47
1,participant_2,-297.1666666666667,26.0,34.47
1,participant_2,-297.14285714285717,26.0,34.47
1,participant_2,-297.1190476190476,26.0,34.47
1,participant_2,-297.0952380952381,26.0,34.47
1,participant_2,-297.07142857142856,26.0,34.47
1,participant_2,-297.04761904761904,26.0,34.47
1,participant_2,-297.0238095238095,26.0,34.47
1,participant_2,-297.0,26.0,34.47
1,participant_2,-296.9761904761905,26.0,34.47
1,participant_2,-296.95238095238096,26.0,34.47
1,participant_2,-296.92857142857144,26.0,34.47
1,participant_2,-296.9047619047619,26.0,34.47
1,participant_2,-296.8809523809524,26.0,34.47
1,participant_2,-296.85714285714283,26.0,34.47
1,participant_2,-296.8333333333333,26.0,34.47
1,participant_2,-296.8095238095238,26.0,34.47
1,participant_2,-296.7857142857143,26.0,34.47
1,participant_2,-296.76190476190476,26.0,34.47
1,participant_2,-296.73809523809524,26.0,34.47
1,participant_2,-296.7142857142857,26.0,34.47
1,participant_2,-296.6904761904762,26.0,34.47
1,participant_2,-296.6666666666667,26.0,34.47
1,participant_2,-296.64285714285717,26.0,34.47
1,participant_2,-296.6190476190476,26.0,34.47
1,participant_2,-296.5952380952381,26.0,34.47
1,participant_2,-296.57142857142856,26.0,34.47
1,participant_2,-296.54761904761904,26.0,34.47
1,participant_2,-296.5238095238095,26.0,34.47
1,participant_2,-296.5,26.0,34.47
1,participant_2,-296.4761904761905,26.0,34.47
1,participant_2,-296.45238095238096,26.0,34.47
1,participant_2,-296.42857142857144,26.0,34.47
1,participant_2,-296.4047619047619,26.0,34.47
1,participant_2,-296.3809523809524,26.0,34.47
1,participant_2,-296.35714285714283,26.0,34.47
1,participant_2,-296.3333333333333,26.0,34.47
1,participant_2,-296.3095238095238,26.0,34.47
1,participant_2,-296.2857142857143,26.0,34.47
1,participant_2,-296.26190476190476,26.0,34.47
1,participant_2,-296.23809523809524,26.0,34.47
1,participant_2,-296.2142857142857,26.0,34.47
1,participant_2,-296.1904761904762,26.0,34.47
1,participant_2,-296.1666666666667,26.0,34.47
1,participant_2,-296.14285714285717,26.0,34.47
1,participant_2,-296.1190476190476,26.0,34.47
1,participant_2,-296.0952380952381,26.0,34.47
1,participant_2,-296.07142857142856,26.0,34.47
1,participant_2,-296.04761904761904,26.0,34.47
1,participant_2,-296.0238095238095,26.0,34.47
1,participant_2,-296.0,26.0,34.47
1,participant_2,-295.9761904761905,26.0,34.47
1,participant_2,-295.95238095238096,26.0,34.47
1,participant_2,-295.92857142857144,26.0,34.47
1,participant_2,-295.9047619047619,26.0,34.47
1,participant_2,-295.8809523809524,26.0,34.47
1,participant_2,-295.85714285714283,26.0,34.47
1,participant_2,-295.8333333333333,26.0,34.47
1,participant_2,-295.8095238095238,26.0,34.47
1,participant_2,-295.7857142857143,26.0,34.47
1,participant_2,-295.76190476190476,26.0,34.47
1,participant_2,-295.73809523809524,26.0,34.47
1,participant_2,-295.7142857142857,26.0,34.47
1,participant_2,-295.6904761904762,26.0,34.47
1,participant_2,-295.6666666666667,26.0,34.47
1,participant_2,-295.64285714285717,26.0,34.47
1,participant_2,-295.6190476190476,26.0,34.47
1,participant_2,-295.5952380952381,26.0,34.47
1,participant_2,-295.57142857142856,26.0,34.47
1,participant_2,-295.54761904761904,26.0,34.47
1,participant_2,-295.5238095238095,26.0,34.47
1,participant_2,-295.5,26.0,34.47
1,participant_2,-295.4761904761905,26.0,34.47
1,participant_2,-295.45238095238096,26.0,34.47
1,participant_2,-295.42857142857144,26.0,34.47
1,participant_2,-295.4047619047619,26.0,34.47
1,participant_2,-295.3809523809524,26.0,34.47
1,participant_2,-295.35714285714283,26.0,34.47
1,participant_2,-295.3333333333333,26.0,34.47
1,participant_2,-295.3095238095238,26.0,34.47
1,participant_2,-295.2857142857143,26.0,34.47
1,participant_2,-295.26190476190476,26.0,34.47
1,participant_2,-295.23809523809524,26.0,34.47
1,participant_2,-295.2142857142857,26.0,34.47
1,participant_2,-295.1904761904762,26.0,34.47
1,participant_2,-295.1666666666667,26.0,34.47
1,participant_2,-295.14285714285717,26.0,34.47
1,participant_2,-295.1190476190476,26.0,34.47
1,participant_2,-295.0952380952381,26.0,34.47
1,participant_2,-295.07142857142856,26.0,34.47
1,participant_2,-295.04761904761904,26.0,34.47
1,participant_2,-295.0238095238095,26.0,34.47
1,participant_2,-295.0,26.0,34.47
1,participant_2,-294.9761904761905,26.0,34.47
1,participant_2,-294.95238095238096,26.0,34.47
1,participant_2,-294.92857142857144,26.0,34.47
1,participant_2,-294.9047619047619,26.0,34.47
1,participant_2,-294.8809523809524,26.0,34.47
1,participant_2,-294.85714285714283,26.0,34.47
1,participant_2,-294.8333333333333,26.0,34.47
1,participant_2,-294.8095238095238,26.0,34.47
1,participant_2,-294.7857142857143,26.0,34.47
1,participant_2,-294.76190476190476,26.0,34.47
1,participant_2,-294.73809523809524,26.0,34.47
1,participant_2,-294.7142857142857,26.0,34.47
1,participant_2,-294.6904761904762,26.0,34.47
1,participant_2,-294.6666666666667,26.0,34.47
1,participant_2,-294.64285714285717,26.0,34.47
1,participant_2,-294.6190476190476,26.0,34.47
1,participant_2,-294.5952380952381,26.0,34.47
1,participant_2,-294.57142857142856,26.0,34.47
1,participant_2,-294.54761904761904,26.0,34.47
1,participant_2,-294.5238095238095,26.0,34.47
1,participant_2,-294.5,26.0,34.47
1,participant_2,-294.4761904761905,26.0,34.47
