method,protocol,granularity,macro_f1,cold_f1,run_id,notes
MostlyAI A_seed42,TSTR,7,0.2419,0.0,20260811_223118,
MostlyAI A_seed42,Augmented,7,0.2938,0.0,20260811_223118,
MostlyAI A_seed42,TSTR,3,0.661,0.6655,20260811_223118,
MostlyAI A_seed42,Augmented,3,0.6965,0.6933,20260811_223118,
MostlyAI B_seed42,TSTR,7,0.2419,0.0,20260811_223118,
MostlyAI B_seed42,Augmented,7,0.2938,0.0,20260811_223118,
MostlyAI B_seed42,TSTR,3,0.661,0.6655,20260811_223118,
MostlyAI B_seed42,Augmented,3,0.6965,0.6933,20260811_223118,
MostlyAI C_seed7,TSTR,7,0.2344,0.0,20260811_223118,
MostlyAI C_seed7,Augmented,7,0.2811,0.0,20260811_223118,
MostlyAI C_seed7,TSTR,3,0.6583,0.6773,20260811_223118,
MostlyAI C_seed7,Augmented,3,0.7408,0.7184,20260811_223118,
MostlyAI A_seed42 PROBE,TSTR,7,0.2461,0.0,20260811_223118,
MostlyAI A_seed42 PROBE,Augmented,7,0.2791,0.0,20260811_223118,
MostlyAI A_seed42 PROBE,TSTR,3,0.6807,0.7032,20260811_223118,
MostlyAI A_seed42 PROBE,Augmented,3,0.7033,0.6977,20260811_223118,
